,year,borough,Post Type,Like,Retweet,Reply,Post Type_image,Post Type_text,Post Type_video,Police force,Contact / Interact,London,Project Servator,Local,Missing person,Crime,Arrest / Results,Traffic,Drugs
186,2017,Barking and Dagenham,image,9,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
187,2017,Barking and Dagenham,image,5,2,,1,0,0,1,0,0,0,0,0,1,0,1,0
188,2017,Barking and Dagenham,image,21,7,2,1,0,0,1,0,0,0,0,0,1,1,1,0
189,2017,Barking and Dagenham,image,10,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0
190,2017,Barking and Dagenham,text,32,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0
191,2017,Barking and Dagenham,image,130,229,29,1,0,0,1,0,0,0,0,0,0,0,0,0
192,2017,Barking and Dagenham,image,47,9,6,1,0,0,1,0,0,0,1,0,1,0,0,0
193,2017,Barking and Dagenham,image,60,12,7,1,0,0,1,0,0,0,0,0,1,1,0,0
194,2017,Barking and Dagenham,image,22,4,1,1,0,0,1,0,0,0,0,0,0,1,1,0
195,2017,Barking and Dagenham,image,13,,1,1,0,0,1,0,0,0,0,0,0,0,0,0
196,2017,Barking and Dagenham,text,3,,,0,1,0,0,1,0,0,0,0,0,0,0,0
197,2017,Barking and Dagenham,image,28,3,2,1,0,0,1,0,0,0,0,0,1,0,1,0
198,2017,Barking and Dagenham,image,21,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0
199,2017,Barking and Dagenham,image,10,2,,1,0,0,1,1,1,0,0,0,1,1,1,0
200,2017,Barking and Dagenham,image,9,3,,1,0,0,1,0,0,0,0,1,1,0,0,0
201,2017,Barking and Dagenham,image,2,1,,1,0,0,1,0,0,0,0,0,0,0,1,0
202,2017,Barking and Dagenham,image,156,125,99,1,0,0,1,0,1,0,0,0,1,1,0,0
203,2017,Barking and Dagenham,text,9,2,,0,1,0,0,0,0,0,0,1,0,1,0,0
204,2017,Barking and Dagenham,image,2,3,,1,0,0,0,0,0,0,0,1,0,0,0,0
205,2017,Barking and Dagenham,image,25,4,1,1,0,0,1,0,0,0,0,0,1,1,0,0
206,2017,Barking and Dagenham,image,6,1,,1,0,0,1,0,0,0,0,0,1,0,1,0
207,2017,Barking and Dagenham,image,10,2,,1,0,0,0,0,0,0,1,0,1,1,1,0
