;borough;year;population;like;retweet;reply;post_length;post_type_image;post_type_text;post_type_video;entries;avg_like;avg_retweet;avg_reply;Q131;Q133
12;Brent;2017;332750;2645.0;2598.0;377.0;112.4156378600823;140.0;105.0;3.0;248;10.665322580645162;10.475806451612904;1.5201612903225807;1.5501618122977345;1.919093851132686
13;Brent;2018;336859;4446.0;5231.0;389.0;169.6875;115.0;91.0;20.0;226;19.672566371681416;23.146017699115045;1.7212389380530972;1.3131868131868132;1.7307692307692308
14;Brent;2019;340710;3439.0;1653.0;238.0;189.1741573033708;77.0;93.0;11.0;181;19.0;9.132596685082873;1.3149171270718232;1.5013550135501355;1.910569105691057
15;Brent;2020;343853;5198.0;2508.0;573.0;202.5288888888889;85.0;131.0;12.0;228;22.79824561403509;11.0;2.513157894736842;1.5710059171597632;1.7958579881656804
16;Bromley;2017;330909;6526.0;3758.0;713.0;110.7596153846154;318.0;496.0;29.0;843;7.741399762752076;4.457888493475682;0.8457888493475683;1.5389408099688473;1.8348909657320873
17;Bromley;2018;332733;5741.0;3062.0;543.0;174.07648725212465;143.0;154.0;64.0;361;15.903047091412743;8.481994459833794;1.5041551246537397;1.468586387434555;1.7146596858638743
18;Bromley;2019;334292;4595.0;2137.0;373.0;180.13636363636363;144.0;99.0;25.0;268;17.145522388059703;7.973880597014926;1.3917910447761195;1.5593667546174141;1.8021108179419525
19;Bromley;2020;336395;9738.0;3542.0;756.0;205.02601156069363;228.0;100.0;31.0;359;27.125348189415043;9.866295264623956;2.105849582172702;1.6420454545454546;1.7642045454545454
20;Camden;2017;249556;2130.0;1772.0;182.0;131.0462962962963;106.0;102.0;8.0;216;9.86111111111111;8.203703703703704;0.8425925925925926;1.5345911949685536;1.9622641509433962
21;Camden;2018;252637;8225.0;3666.0;1323.0;188.52554744525548;260.0;275.0;16.0;551;14.927404718693285;6.653357531760435;2.401088929219601;1.4075067024128687;1.8525469168900803
22;Camden;2019;255526;5824.0;2843.0;497.0;206.69306930693068;179.0;111.0;13.0;303;19.221122112211223;9.382838283828383;1.6402640264026402;1.4120879120879122;1.7417582417582418
23;Camden;2020;257384;10934.0;4397.0;834.0;237.5751633986928;249.0;155.0;57.0;461;23.718004338394795;9.537960954446854;1.8091106290672452;1.4812680115273775;1.7031700288184437
24;Croydon;2017;386346;3148.0;2904.0;257.0;124.79864253393666;165.0;264.0;16.0;445;7.074157303370787;6.525842696629214;0.5775280898876405;1.6270096463022508;1.909967845659164
25;Croydon;2018;391296;1512.0;2577.0;181.0;162.53846153846155;56.0;97.0;3.0;156;9.692307692307692;16.51923076923077;1.1602564102564104;1.4390243902439024;1.7696476964769647
26;Croydon;2019;396548;2706.0;3197.0;207.0;193.6580310880829;129.0;48.0;17.0;194;13.948453608247423;16.47938144329897;1.0670103092783505;1.4224598930481283;1.6631016042780749
