;year;gender;race;borough;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;year;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;gender_Male;race_Black;race_White;borough_Barnet;borough_Bexley;borough_Brent;borough_Bromley;borough_Camden;borough_Croydon;borough_Ealing;borough_Enfield;borough_Greenwich;borough_Hackney;borough_Hammersmith and Fulham;borough_Haringey;borough_Harrow;borough_Havering;borough_Hillingdon;borough_Hounslow;borough_Islington;borough_Kensington and Chelsea;borough_Kingston upon Thames;borough_Lambeth;borough_Lewisham;borough_Merton;borough_Newham;borough_Redbridge;borough_Richmond upon Thames;borough_Southwark;borough_Sutton;borough_Tower Hamlets;borough_Waltham Forest;borough_Wandsworth;borough_Westminster
29;2017;Female;Asian;Waltham Forest;1.2;1.48;25;293;0.08532423208191127;1.3399999999999999;2017;1.2;1.48;25;293;0.08532423208191127;1.3399999999999999;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
30;2017;Female;Asian;Wandsworth;1.25;1.75;12;284;0.04225352112676056;1.5;2017;1.25;1.75;12;284;0.04225352112676056;1.5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False
31;2017;Female;Asian;Westminster;1.5769230769230769;1.9230769230769231;26;284;0.09154929577464789;1.75;2017;1.5769230769230769;1.9230769230769231;26;284;0.09154929577464789;1.75;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
32;2017;Female;Black;Barking and Dagenham;1.3783783783783783;1.7027027027027026;37;303;0.12211221122112212;1.5405405405405403;2017;1.3783783783783783;1.7027027027027026;37;303;0.12211221122112212;1.5405405405405403;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
33;2017;Female;Black;Barnet;1.4615384615384615;1.6923076923076923;13;292;0.04452054794520548;1.5769230769230769;2017;1.4615384615384615;1.6923076923076923;13;292;0.04452054794520548;1.5769230769230769;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
34;2017;Female;Black;Bexley;1.5833333333333333;1.8333333333333333;12;315;0.0380952380952381;1.7083333333333333;2017;1.5833333333333333;1.8333333333333333;12;315;0.0380952380952381;1.7083333333333333;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
35;2017;Female;Black;Brent;1.5476190476190477;1.880952380952381;42;298;0.14093959731543623;1.7142857142857144;2017;1.5476190476190477;1.880952380952381;42;298;0.14093959731543623;1.7142857142857144;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
36;2017;Female;Black;Bromley;1.0833333333333333;1.6666666666666667;12;314;0.03821656050955414;1.375;2017;1.0833333333333333;1.6666666666666667;12;314;0.03821656050955414;1.375;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
37;2017;Female;Black;Camden;1.3;1.8;20;314;0.06369426751592357;1.55;2017;1.3;1.8;20;314;0.06369426751592357;1.55;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
38;2017;Female;Black;Croydon;1.5789473684210527;1.9473684210526316;38;297;0.12794612794612795;1.763157894736842;2017;1.5789473684210527;1.9473684210526316;38;297;0.12794612794612795;1.763157894736842;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
