borough,year,population,gender,race,like,retweet,reply,post_length,p_type_image,p_type_text,p_type_video,count_Twitter,mean_Q131,mean_Q133,Q131_Q133_avg,count_PAS,total_surveys_borough,proportion_subgroup
Bexley,2017,247179,Male,Black,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.5714285714285714,1.8571428571428568,1.7142857142857144,21,315,0.0666666666666666
Bexley,2017,247179,Male,White,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.7559055118110236,1.9133858267716533,1.8346456692913384,127,315,0.4031746031746032
Bexley,2018,249999,Female,Asian,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.5217391304347827,1.4782608695652173,1.5,23,371,0.0619946091644204
Bexley,2018,249999,Female,Black,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.2727272727272727,1.5454545454545454,1.4090909090909092,22,371,0.059299191374663
Bexley,2018,249999,Female,White,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.425,1.6375,1.53125,160,371,0.431266846361186
Bexley,2018,249999,Male,Asian,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.181818181818182,1.6363636363636365,1.4090909090909092,11,371,0.0296495956873315
Bexley,2018,249999,Male,Black,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.3571428571428572,1.5714285714285714,1.4642857142857144,14,371,0.0377358490566037
Bexley,2018,249999,Male,White,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.3900709219858156,1.5106382978723405,1.450354609929078,141,371,0.3800539083557951
Bexley,2019,252885,Female,Asian,701.0,348.0,71.0,216.84,35.0,13.0,2.0,50,1.4,1.7,1.5499999999999998,20,375,0.0533333333333333
Bexley,2019,252885,Female,Black,701.0,348.0,71.0,216.84,35.0,13.0,2.0,50,1.3333333333333333,1.6,1.4666666666666668,15,375,0.04
Bexley,2019,252885,Female,White,701.0,348.0,71.0,216.84,35.0,13.0,2.0,50,1.5141242937853108,1.734463276836158,1.6242937853107344,177,375,0.472
Bexley,2019,252885,Male,Asian,701.0,348.0,71.0,216.84,35.0,13.0,2.0,50,1.625,1.875,1.75,16,375,0.0426666666666666
Bexley,2019,252885,Male,Black,701.0,348.0,71.0,216.84,35.0,13.0,2.0,50,1.4166666666666667,1.8333333333333333,1.625,12,375,0.032
Bexley,2019,252885,Male,White,701.0,348.0,71.0,216.84,35.0,13.0,2.0,50,1.511111111111111,1.762962962962963,1.637037037037037,135,375,0.36
Bexley,2020,254970,Female,Asian,5236.0,2516.0,506.0,217.9152542372881,133.0,121.0,46.0,300,1.2142857142857142,1.7142857142857142,1.4642857142857142,14,339,0.0412979351032448
Bexley,2020,254970,Female,Black,5236.0,2516.0,506.0,217.9152542372881,133.0,121.0,46.0,300,1.3333333333333333,1.6,1.4666666666666668,15,339,0.0442477876106194
Bexley,2020,254970,Female,White,5236.0,2516.0,506.0,217.9152542372881,133.0,121.0,46.0,300,1.5755813953488371,1.6395348837209305,1.6075581395348837,172,339,0.5073746312684366
Bexley,2020,254970,Male,Asian,5236.0,2516.0,506.0,217.9152542372881,133.0,121.0,46.0,300,1.4285714285714286,2.0,1.7142857142857144,7,339,0.0206489675516224
Bexley,2020,254970,Male,Black,5236.0,2516.0,506.0,217.9152542372881,133.0,121.0,46.0,300,1.6875,1.8125,1.75,16,339,0.0471976401179941
Bexley,2020,254970,Male,White,5236.0,2516.0,506.0,217.9152542372881,133.0,121.0,46.0,300,1.6608695652173913,1.7652173913043478,1.7130434782608694,115,339,0.3392330383480826
Brent,2017,332750,Female,Asian,2645.0,2598.0,377.0,112.4156378600823,140.0,105.0,3.0,248,1.3793103448275863,1.827586206896552,1.603448275862069,58,298,0.1946308724832214
Brent,2017,332750,Female,Black,2645.0,2598.0,377.0,112.4156378600823,140.0,105.0,3.0,248,1.5476190476190477,1.880952380952381,1.7142857142857144,42,298,0.1409395973154362
Brent,2017,332750,Female,White,2645.0,2598.0,377.0,112.4156378600823,140.0,105.0,3.0,248,1.5625,1.890625,1.7265625,64,298,0.2147651006711409
Brent,2017,332750,Male,Asian,2645.0,2598.0,377.0,112.4156378600823,140.0,105.0,3.0,248,1.697674418604651,2.046511627906977,1.872093023255814,43,298,0.1442953020134228
Brent,2017,332750,Male,Black,2645.0,2598.0,377.0,112.4156378600823,140.0,105.0,3.0,248,1.6956521739130437,2.0,1.8478260869565215,23,298,0.0771812080536912
Brent,2017,332750,Male,White,2645.0,2598.0,377.0,112.4156378600823,140.0,105.0,3.0,248,1.5441176470588236,1.9705882352941175,1.7573529411764706,68,298,0.2281879194630872
Brent,2018,336859,Female,Asian,4446.0,5231.0,389.0,169.6875,115.0,91.0,20.0,226,1.2592592592592593,1.7037037037037035,1.4814814814814814,54,354,0.1525423728813559
Brent,2018,336859,Female,Black,4446.0,5231.0,389.0,169.6875,115.0,91.0,20.0,226,1.25531914893617,1.6595744680851063,1.4574468085106382,47,354,0.1327683615819209
Brent,2018,336859,Female,White,4446.0,5231.0,389.0,169.6875,115.0,91.0,20.0,226,1.2988505747126438,1.7241379310344829,1.511494252873563,87,354,0.2457627118644068
Brent,2018,336859,Male,Asian,4446.0,5231.0,389.0,169.6875,115.0,91.0,20.0,226,1.3703703703703705,1.7777777777777777,1.574074074074074,54,354,0.1525423728813559
Brent,2018,336859,Male,Black,4446.0,5231.0,389.0,169.6875,115.0,91.0,20.0,226,1.3103448275862069,1.6551724137931034,1.4827586206896552,29,354,0.0819209039548022
Brent,2018,336859,Male,White,4446.0,5231.0,389.0,169.6875,115.0,91.0,20.0,226,1.3614457831325302,1.7710843373493976,1.5662650602409638,83,354,0.2344632768361582
Brent,2019,340710,Female,Asian,3439.0,1653.0,238.0,189.1741573033708,77.0,93.0,11.0,181,1.5606060606060606,1.9242424242424243,1.7424242424242424,66,360,0.1833333333333333
Brent,2019,340710,Female,Black,3439.0,1653.0,238.0,189.1741573033708,77.0,93.0,11.0,181,1.3529411764705883,1.8529411764705883,1.6029411764705883,34,360,0.0944444444444444
Brent,2019,340710,Female,White,3439.0,1653.0,238.0,189.1741573033708,77.0,93.0,11.0,181,1.5591397849462365,1.935483870967742,1.7473118279569892,93,360,0.2583333333333333
Brent,2019,340710,Male,Asian,3439.0,1653.0,238.0,189.1741573033708,77.0,93.0,11.0,181,1.425531914893617,1.851063829787234,1.6382978723404251,47,360,0.1305555555555555
Brent,2019,340710,Male,Black,3439.0,1653.0,238.0,189.1741573033708,77.0,93.0,11.0,181,1.3636363636363635,1.8636363636363635,1.6136363636363635,22,360,0.0611111111111111
Brent,2019,340710,Male,White,3439.0,1653.0,238.0,189.1741573033708,77.0,93.0,11.0,181,1.510204081632653,1.9489795918367347,1.729591836734694,98,360,0.2722222222222222
Brent,2020,343853,Female,Asian,5198.0,2508.0,573.0,202.5288888888889,85.0,131.0,12.0,228,1.489795918367347,1.7959183673469388,1.6428571428571428,49,333,0.1471471471471471
Brent,2020,343853,Female,Black,5198.0,2508.0,573.0,202.5288888888889,85.0,131.0,12.0,228,1.3617021276595744,1.680851063829787,1.521276595744681,47,333,0.1411411411411411
Brent,2020,343853,Female,White,5198.0,2508.0,573.0,202.5288888888889,85.0,131.0,12.0,228,1.6022727272727273,1.8409090909090908,1.7215909090909092,88,333,0.2642642642642642
Brent,2020,343853,Male,Asian,5198.0,2508.0,573.0,202.5288888888889,85.0,131.0,12.0,228,1.852459016393443,1.8032786885245904,1.8278688524590163,61,333,0.1831831831831832
Brent,2020,343853,Male,Black,5198.0,2508.0,573.0,202.5288888888889,85.0,131.0,12.0,228,1.2941176470588236,1.588235294117647,1.4411764705882353,17,333,0.051051051051051
Brent,2020,343853,Male,White,5198.0,2508.0,573.0,202.5288888888889,85.0,131.0,12.0,228,1.5633802816901408,1.8591549295774648,1.7112676056338028,71,333,0.2132132132132132
Bromley,2017,330909,Female,Asian,6526.0,3758.0,713.0,110.7596153846154,318.0,496.0,29.0,843,1.2727272727272727,1.5454545454545454,1.4090909090909092,11,314,0.0350318471337579
Bromley,2017,330909,Female,Black,6526.0,3758.0,713.0,110.7596153846154,318.0,496.0,29.0,843,1.0833333333333333,1.6666666666666667,1.375,12,314,0.0382165605095541
Bromley,2017,330909,Female,White,6526.0,3758.0,713.0,110.7596153846154,318.0,496.0,29.0,843,1.5202702702702702,1.8243243243243243,1.6722972972972974,148,314,0.4713375796178344
Bromley,2017,330909,Male,Asian,6526.0,3758.0,713.0,110.7596153846154,318.0,496.0,29.0,843,1.25,1.75,1.5,4,314,0.0127388535031847
Bromley,2017,330909,Male,Black,6526.0,3758.0,713.0,110.7596153846154,318.0,496.0,29.0,843,1.411764705882353,1.8823529411764703,1.6470588235294117,17,314,0.054140127388535
Bromley,2017,330909,Male,White,6526.0,3758.0,713.0,110.7596153846154,318.0,496.0,29.0,843,1.6639344262295082,1.8852459016393444,1.7745901639344264,122,314,0.3885350318471338
Bromley,2018,332733,Female,Asian,5741.0,3062.0,543.0,174.07648725212465,143.0,154.0,64.0,361,1.0,2.0,1.5,3,374,0.0080213903743315
Bromley,2018,332733,Female,Black,5741.0,3062.0,543.0,174.07648725212465,143.0,154.0,64.0,361,1.0909090909090908,1.4545454545454546,1.2727272727272727,11,374,0.0294117647058823
Bromley,2018,332733,Female,White,5741.0,3062.0,543.0,174.07648725212465,143.0,154.0,64.0,361,1.4915254237288136,1.7118644067796611,1.6016949152542377,177,374,0.4732620320855615
Bromley,2018,332733,Male,Asian,5741.0,3062.0,543.0,174.07648725212465,143.0,154.0,64.0,361,1.375,1.625,1.5,16,374,0.0427807486631016
Bromley,2018,332733,Male,Black,5741.0,3062.0,543.0,174.07648725212465,143.0,154.0,64.0,361,1.4166666666666667,1.6666666666666667,1.5416666666666667,12,374,0.0320855614973262
Bromley,2018,332733,Male,White,5741.0,3062.0,543.0,174.07648725212465,143.0,154.0,64.0,361,1.5032258064516129,1.7419354838709675,1.6225806451612903,155,374,0.4144385026737968
Bromley,2019,334292,Female,Asian,4595.0,2137.0,373.0,180.13636363636363,144.0,99.0,25.0,268,1.4090909090909092,1.7272727272727273,1.5681818181818183,22,370,0.0594594594594594
Bromley,2019,334292,Female,Black,4595.0,2137.0,373.0,180.13636363636363,144.0,99.0,25.0,268,1.5,2.0,1.75,8,370,0.0216216216216216
Bromley,2019,334292,Female,White,4595.0,2137.0,373.0,180.13636363636363,144.0,99.0,25.0,268,1.5595238095238095,1.761904761904762,1.6607142857142856,168,370,0.4540540540540541
Bromley,2019,334292,Male,Asian,4595.0,2137.0,373.0,180.13636363636363,144.0,99.0,25.0,268,1.5833333333333333,1.9166666666666667,1.75,12,370,0.0324324324324324
Bromley,2019,334292,Male,Black,4595.0,2137.0,373.0,180.13636363636363,144.0,99.0,25.0,268,1.5555555555555556,2.0,1.7777777777777777,9,370,0.0243243243243243
Bromley,2019,334292,Male,White,4595.0,2137.0,373.0,180.13636363636363,144.0,99.0,25.0,268,1.5894039735099337,1.814569536423841,1.7019867549668874,151,370,0.4081081081081081
Bromley,2020,336395,Female,Asian,9738.0,3542.0,756.0,205.02601156069363,228.0,100.0,31.0,359,1.6666666666666667,1.8888888888888888,1.7777777777777777,9,344,0.0261627906976744
Bromley,2020,336395,Female,Black,9738.0,3542.0,756.0,205.02601156069363,228.0,100.0,31.0,359,1.5,1.2,1.35,10,344,0.0290697674418604
Bromley,2020,336395,Female,White,9738.0,3542.0,756.0,205.02601156069363,228.0,100.0,31.0,359,1.565217391304348,1.8074534161490683,1.6863354037267082,161,344,0.4680232558139535
Bromley,2020,336395,Male,Asian,9738.0,3542.0,756.0,205.02601156069363,228.0,100.0,31.0,359,1.5625,1.625,1.59375,16,344,0.0465116279069767
Bromley,2020,336395,Male,Black,9738.0,3542.0,756.0,205.02601156069363,228.0,100.0,31.0,359,1.6,1.8,1.7000000000000002,10,344,0.0290697674418604
Bromley,2020,336395,Male,White,9738.0,3542.0,756.0,205.02601156069363,228.0,100.0,31.0,359,1.7391304347826086,1.7608695652173914,1.75,138,344,0.4011627906976744
Camden,2017,249556,Female,Asian,2130.0,1772.0,182.0,131.0462962962963,106.0,102.0,8.0,216,1.4074074074074074,1.851851851851852,1.6296296296296298,27,314,0.0859872611464968
Camden,2017,249556,Female,Black,2130.0,1772.0,182.0,131.0462962962963,106.0,102.0,8.0,216,1.3,1.8,1.55,20,314,0.0636942675159235
Camden,2017,249556,Female,White,2130.0,1772.0,182.0,131.0462962962963,106.0,102.0,8.0,216,1.5546218487394958,1.9831932773109244,1.76890756302521,119,314,0.3789808917197452
Camden,2017,249556,Male,Asian,2130.0,1772.0,182.0,131.0462962962963,106.0,102.0,8.0,216,1.619047619047619,2.0476190476190474,1.8333333333333333,21,314,0.0668789808917197
Camden,2017,249556,Male,Black,2130.0,1772.0,182.0,131.0462962962963,106.0,102.0,8.0,216,1.6666666666666667,2.1666666666666665,1.9166666666666663,6,314,0.019108280254777
Camden,2017,249556,Male,White,2130.0,1772.0,182.0,131.0462962962963,106.0,102.0,8.0,216,1.5454545454545454,1.9586776859504127,1.7520661157024793,121,314,0.3853503184713376
Camden,2018,252637,Female,Asian,8225.0,3666.0,1323.0,188.52554744525548,260.0,275.0,16.0,551,1.15,1.85,1.5,20,365,0.0547945205479452
Camden,2018,252637,Female,Black,8225.0,3666.0,1323.0,188.52554744525548,260.0,275.0,16.0,551,1.1111111111111112,1.7222222222222223,1.4166666666666667,18,365,0.0493150684931506
Camden,2018,252637,Female,White,8225.0,3666.0,1323.0,188.52554744525548,260.0,275.0,16.0,551,1.4342105263157894,1.822368421052632,1.6282894736842106,152,365,0.4164383561643835
Camden,2018,252637,Male,Asian,8225.0,3666.0,1323.0,188.52554744525548,260.0,275.0,16.0,551,1.4,1.84,1.62,25,365,0.0684931506849315
Camden,2018,252637,Male,Black,8225.0,3666.0,1323.0,188.52554744525548,260.0,275.0,16.0,551,1.4615384615384617,1.9230769230769231,1.6923076923076923,13,365,0.0356164383561643
Camden,2018,252637,Male,White,8225.0,3666.0,1323.0,188.52554744525548,260.0,275.0,16.0,551,1.45985401459854,1.897810218978102,1.6788321167883211,137,365,0.3753424657534246
Camden,2019,255526,Female,Asian,5824.0,2843.0,497.0,206.69306930693068,179.0,111.0,13.0,303,1.3421052631578947,1.736842105263158,1.5394736842105263,38,358,0.106145251396648
Camden,2019,255526,Female,Black,5824.0,2843.0,497.0,206.69306930693068,179.0,111.0,13.0,303,1.4615384615384617,1.6923076923076923,1.5769230769230769,13,358,0.0363128491620111
Camden,2019,255526,Female,White,5824.0,2843.0,497.0,206.69306930693068,179.0,111.0,13.0,303,1.4148148148148147,1.7851851851851852,1.6,135,358,0.3770949720670391
Camden,2019,255526,Male,Asian,5824.0,2843.0,497.0,206.69306930693068,179.0,111.0,13.0,303,1.5,1.9666666666666663,1.7333333333333334,30,358,0.0837988826815642
Camden,2019,255526,Male,Black,5824.0,2843.0,497.0,206.69306930693068,179.0,111.0,13.0,303,1.5714285714285714,1.8571428571428568,1.7142857142857144,7,358,0.0195530726256983
Camden,2019,255526,Male,White,5824.0,2843.0,497.0,206.69306930693068,179.0,111.0,13.0,303,1.3925925925925926,1.6444444444444444,1.5185185185185186,135,358,0.3770949720670391
Camden,2020,257384,Female,Asian,10934.0,4397.0,834.0,237.5751633986928,249.0,155.0,57.0,461,1.1538461538461535,1.6153846153846154,1.3846153846153846,26,330,0.0787878787878787
Camden,2020,257384,Female,Black,10934.0,4397.0,834.0,237.5751633986928,249.0,155.0,57.0,461,1.4583333333333333,1.6666666666666667,1.5625,24,330,0.0727272727272727
Camden,2020,257384,Female,White,10934.0,4397.0,834.0,237.5751633986928,249.0,155.0,57.0,461,1.546875,1.75,1.6484375,128,330,0.3878787878787879
Camden,2020,257384,Male,Asian,10934.0,4397.0,834.0,237.5751633986928,249.0,155.0,57.0,461,1.7,1.7666666666666666,1.7333333333333334,30,330,0.0909090909090909
Camden,2020,257384,Male,Black,10934.0,4397.0,834.0,237.5751633986928,249.0,155.0,57.0,461,1.7272727272727273,2.090909090909091,1.9090909090909087,11,330,0.0333333333333333
Camden,2020,257384,Male,White,10934.0,4397.0,834.0,237.5751633986928,249.0,155.0,57.0,461,1.3873873873873874,1.6216216216216215,1.504504504504505,111,330,0.3363636363636363
Croydon,2017,386346,Female,Asian,3148.0,2904.0,257.0,124.79864253393666,165.0,264.0,16.0,445,1.6875,1.875,1.78125,16,297,0.0538720538720538
Croydon,2017,386346,Female,Black,3148.0,2904.0,257.0,124.79864253393666,165.0,264.0,16.0,445,1.5789473684210529,1.947368421052632,1.763157894736842,38,297,0.1279461279461279
Croydon,2017,386346,Female,White,3148.0,2904.0,257.0,124.79864253393666,165.0,264.0,16.0,445,1.584070796460177,1.8761061946902653,1.7300884955752212,113,297,0.3804713804713804
Croydon,2017,386346,Male,Asian,3148.0,2904.0,257.0,124.79864253393666,165.0,264.0,16.0,445,1.9090909090909087,2.0,1.9545454545454544,22,297,0.074074074074074
Croydon,2017,386346,Male,Black,3148.0,2904.0,257.0,124.79864253393666,165.0,264.0,16.0,445,1.8,1.9,1.85,20,297,0.0673400673400673
Croydon,2017,386346,Male,White,3148.0,2904.0,257.0,124.79864253393666,165.0,264.0,16.0,445,1.5909090909090908,1.9204545454545452,1.755681818181818,88,297,0.2962962962962963
Croydon,2018,391296,Female,Asian,1512.0,2577.0,181.0,162.53846153846155,56.0,97.0,3.0,156,1.625,1.7083333333333333,1.6666666666666663,24,357,0.0672268907563025
Croydon,2018,391296,Female,Black,1512.0,2577.0,181.0,162.53846153846155,56.0,97.0,3.0,156,1.325,1.675,1.5,40,357,0.1120448179271708
Croydon,2018,391296,Female,White,1512.0,2577.0,181.0,162.53846153846155,56.0,97.0,3.0,156,1.5130434782608695,1.791304347826087,1.6521739130434785,115,357,0.3221288515406162
Croydon,2018,391296,Male,Asian,1512.0,2577.0,181.0,162.53846153846155,56.0,97.0,3.0,156,1.4871794871794872,1.8461538461538465,1.6666666666666667,39,357,0.1092436974789916
