Upper tier local authorities Code,Upper tier local authorities,Ethnic group (8 categories) Code,Ethnic group,Observation
W06000019,Blaenau Gwent,-8,Does not apply,0
W06000019,Blaenau Gwent,1,Asian,621
W06000019,Blaenau Gwent,2,Black,115
W06000019,Blaenau Gwent,3,Mixed,569
W06000019,Blaenau Gwent,4,White British,63990
W06000019,Blaenau Gwent,5,White Other,92
W06000019,Blaenau Gwent,6,White Other,1375
W06000019,Blaenau Gwent,7,Other,142
W06000020,Torfaen,-8,Does not apply,0
W06000020,Torfaen,1,Asian,1202
W06000020,Torfaen,2,Black,229
W06000020,Torfaen,3,Mixed,1004
W06000020,Torfaen,4,White British,87873
W06000020,Torfaen,5,White Other,296
W06000020,Torfaen,6,White Other,1427
W06000020,Torfaen,7,Other,245
W06000021,Monmouthshire,-8,Does not apply,0
W06000021,Monmouthshire,1,Asian,1185
W06000021,Monmouthshire,2,Black,228
W06000021,Monmouthshire,3,Mixed,1115
W06000021,Monmouthshire,4,White British,87566
W06000021,Monmouthshire,5,White Other,451
W06000021,Monmouthshire,6,White Other,2089
W06000021,Monmouthshire,7,Other,323
W06000022,Newport,-8,Does not apply,0
W06000022,Newport,1,Asian,12194
W06000022,Newport,2,Black,3734
W06000022,Newport,3,Mixed,4454
W06000022,Newport,4,White British,128245
W06000022,Newport,5,White Other,685
W06000022,Newport,6,White Other,7543
W06000022,Newport,7,Other,2738
W06000023,Powys,-8,Does not apply,0
W06000023,Powys,1,Asian,1247
W06000023,Powys,2,Black,219
W06000023,Powys,3,Mixed,1135
W06000023,Powys,4,White British,126357
W06000023,Powys,5,White Other,581
W06000023,Powys,6,White Other,3221
W06000023,Powys,7,Other,407
W06000024,Merthyr Tydfil,-8,Does not apply,0
W06000024,Merthyr Tydfil,1,Asian,871
W06000024,Merthyr Tydfil,2,Black,91
W06000024,Merthyr Tydfil,3,Mixed,511
W06000024,Merthyr Tydfil,4,White British,54916
W06000024,Merthyr Tydfil,5,White Other,113
W06000024,Merthyr Tydfil,6,White Other,2111
W06000024,Merthyr Tydfil,7,Other,227
