Upper tier local authorities Code,Upper tier local authorities,Ethnic group (8 categories) Code,Ethnic group,Observation
E06000059,Dorset,4,White British,356270
E06000059,Dorset,5,White Other,1917
E06000059,Dorset,6,White Other,10228
E06000059,Dorset,7,Other,1342
E06000060,Buckinghamshire,-8,Does not apply,0
E06000060,Buckinghamshire,1,Asian,68318
E06000060,Buckinghamshire,2,Black,14269
E06000060,Buckinghamshire,3,Mixed,19570
E06000060,Buckinghamshire,4,White British,401489
E06000060,Buckinghamshire,5,White Other,6370
E06000060,Buckinghamshire,6,White Other,34305
E06000060,Buckinghamshire,7,Other,8756
E06000061,North Northamptonshire,-8,Does not apply,0
E06000061,North Northamptonshire,1,Asian,12725
E06000061,North Northamptonshire,2,Black,11016
E06000061,North Northamptonshire,3,Mixed,8175
E06000061,North Northamptonshire,4,White British,289274
E06000061,North Northamptonshire,5,White Other,2590
E06000061,North Northamptonshire,6,White Other,32804
E06000061,North Northamptonshire,7,Other,2941
E06000062,West Northamptonshire,-8,Does not apply,0
E06000062,West Northamptonshire,1,Asian,22463
E06000062,West Northamptonshire,2,Black,20663
E06000062,West Northamptonshire,3,Mixed,12116
E06000062,West Northamptonshire,4,White British,319509
E06000062,West Northamptonshire,5,White Other,3872
E06000062,West Northamptonshire,6,White Other,42377
E06000062,West Northamptonshire,7,Other,4725
E08000001,Bolton,-8,Does not apply,0
E08000001,Bolton,1,Asian,59597
E08000001,Bolton,2,Black,11238
E08000001,Bolton,3,Mixed,6643
E08000001,Bolton,4,White British,203486
E08000001,Bolton,5,White Other,1430
E08000001,Bolton,6,White Other,8027
E08000001,Bolton,7,Other,5542
E08000002,Bury,-8,Does not apply,0
E08000002,Bury,1,Asian,20593
E08000002,Bury,2,Black,3690
E08000002,Bury,3,Mixed,5123
E08000002,Bury,4,White British,151528
E08000002,Bury,5,White Other,2192
E08000002,Bury,6,White Other,6996
E08000002,Bury,7,Other,3729
E08000003,Manchester,-8,Does not apply,0
E08000003,Manchester,1,Asian,115110
E08000003,Manchester,2,Black,65893
E08000003,Manchester,3,Mixed,29026
E08000003,Manchester,4,White British,268572
E08000003,Manchester,5,White Other,9442
E08000003,Manchester,6,White Other,35618
E08000003,Manchester,7,Other,28278
E08000004,Oldham,-8,Does not apply,0
E08000004,Oldham,1,Asian,59566
E08000004,Oldham,2,Black,8209
E08000004,Oldham,3,Mixed,6125
E08000004,Oldham,4,White British,157914
E08000004,Oldham,5,White Other,1279
E08000004,Oldham,6,White Other,5704
E08000004,Oldham,7,Other,3291
E08000005,Rochdale,-8,Does not apply,0
E08000005,Rochdale,1,Asian,41406
E08000005,Rochdale,2,Black,7926
E08000005,Rochdale,3,Mixed,5284
E08000005,Rochdale,4,White British,156669
E08000005,Rochdale,5,White Other,1735
E08000005,Rochdale,6,White Other,7082
E08000005,Rochdale,7,Other,3669
E08000006,Salford,-8,Does not apply,0
E08000006,Salford,1,Asian,14938
E08000006,Salford,2,Black,16473
E08000006,Salford,3,Mixed,8501
E08000006,Salford,4,White British,199614
E08000006,Salford,5,White Other,2882
E08000006,Salford,6,White Other,19753
E08000006,Salford,7,Other,7762
E08000007,Stockport,-8,Does not apply,0
E08000007,Stockport,1,Asian,21467
E08000007,Stockport,2,Black,3416
E08000007,Stockport,3,Mixed,7668
E08000007,Stockport,4,White British,245831
E08000007,Stockport,5,White Other,4174
E08000007,Stockport,6,White Other,7525
E08000007,Stockport,7,Other,4692
E08000008,Tameside,-8,Does not apply,0
E08000008,Tameside,1,Asian,21198
E08000008,Tameside,2,Black,5275
E08000008,Tameside,3,Mixed,4961
E08000008,Tameside,4,White British,190305
E08000008,Tameside,5,White Other,1536
E08000008,Tameside,6,White Other,5838
E08000008,Tameside,7,Other,1958
E08000009,Trafford,-8,Does not apply,0
E08000009,Trafford,1,Asian,29585
E08000009,Trafford,2,Black,8086
E08000009,Trafford,3,Mixed,8834
E08000009,Trafford,4,White British,169550
E08000009,Trafford,5,White Other,4884
E08000009,Trafford,6,White Other,8327
E08000009,Trafford,7,Other,5784
E08000010,Wigan,-8,Does not apply,0
E08000010,Wigan,1,Asian,5826
E08000010,Wigan,2,Black,3907
E08000010,Wigan,3,Mixed,4353
E08000010,Wigan,4,White British,302482
E08000010,Wigan,5,White Other,1353
E08000010,Wigan,6,White Other,9117
E08000010,Wigan,7,Other,2292
E08000011,Knowsley,-8,Does not apply,0
E08000011,Knowsley,1,Asian,2508
E08000011,Knowsley,2,Black,1264
E08000011,Knowsley,3,Mixed,2658
E08000011,Knowsley,4,White British,142698
E08000011,Knowsley,5,White Other,855
E08000011,Knowsley,6,White Other,3682
E08000011,Knowsley,7,Other,853
E08000012,Liverpool,-8,Does not apply,0
E08000012,Liverpool,1,Asian,27768
